date,sm5,T_lag1,U_lag1,Ff_lag1,VV_lag1,Td_lag1,VPD_lag1,RRR_lag1,Po_lag1,P_lag1,Pa_lag1,T_max_lag1,T_min_lag1,RRR_sum3,RRR_sum7,P_diff1_lag1,Po_diff1_lag1
2020-08-09,0.1818115,25.3125,70.125,1.875,12.925,18.875,1.1243183113421569,0.0,730.525,750.7,-0.5625,30.8,18.4,0.0,0.0,-4.7999999999999545,-4.550000000000068
2020-08-10,0.1812468,24.2875,84.375,2.375,12.125,21.3875,0.5006127056626115,1.2,728.25,748.35,-0.1375,27.5,21.8,1.2,1.2,-2.3500000000000227,-2.2749999999999773
2020-08-11,0.1795212,25.475,79.375,3.125,10.375,21.4125,0.7472451195898646,1.6,729.2875,749.45,0.2125,29.2,21.4,2.8,2.8,1.1000000000000227,1.0375000000000227
2020-08-12,0.1782245,24.8625,73.5,3.125,11.125,19.625,0.8761502630859062,6.3,732.2625,752.4375,0.5625,29.6,22.0,9.1,9.1,2.9874999999999545,2.9750000000000227
2020-08-13,0.1768596,25.3375,67.625,2.875,13.9375,18.425,1.1119695636438596,3.0,736.8875,757.175,0.3999999999999999,29.0,23.1,10.899999999999999,12.1,4.7374999999999545,4.625
2020-08-14,0.1920446,22.52857142857143,87.71428571428571,3.4285714285714284,10.714285714285714,20.27142857142857,0.3393426528859268,58.0,730.2428571428571,750.5142857142857,-1.04,24.0,20.2,67.3,70.1,-6.660714285714221,-6.644642857142912
2020-08-15,0.1948559,24.1875,73.625,4.0,15.5,18.775,0.8898326666270329,11.0,726.8875,747.0125,0.4875,28.3,18.9,72.0,81.1,-3.5017857142856883,-3.3553571428570876
2020-08-16,0.1944061,22.8,75.0,2.375,16.375,17.625,0.8136446664112922,0.0,732.5625,752.8875,0.5625,27.9,18.5,69.0,81.1,5.875,5.6749999999999545
2020-08-17,0.193339,24.4625,72.125,1.125,12.625,18.35,1.0600897407324652,0.0,735.6375,755.9875,0.3,30.4,17.1,11.0,79.9,3.099999999999909,3.0750000000000455
2020-08-18,0.1984961,23.7,85.0,2.25,8.9125,20.9125,0.4405247949518555,12.7,735.925,756.2625,-0.375,25.9,22.3,12.7,91.0,0.27500000000009095,0.28749999999990905
2020-08-19,0.250375,25.7625,80.75,3.25,9.5,21.8125,0.7301640126037936,20.0,734.525,754.7375,0.175,29.9,20.2,32.7,104.7,-1.525000000000091,-1.3999999999999773
2020-08-20,0.2469525,18.7625,89.5,2.625,10.0,16.875,0.218798116902254,65.5,738.05,758.725,0.7,20.1,16.6,98.2,167.2,3.987500000000068,3.5249999999999773
2020-08-21,0.2391268,18.275,63.25,2.5,14.875,10.675,0.847355147669877,0.0,742.2875,763.2875,0.175,22.8,13.2,85.5,109.2,4.5625,4.237500000000068
2020-08-22,0.2318844,19.2375,64.875,1.875,13.75,11.75,0.923604377001696,0.0,741.65,762.525,-0.1875,25.0,13.1,65.5,98.19999999999999,-0.7625000000000455,-0.6375000000000455
2020-08-23,0.2276509,20.15,74.125,1.0,11.625,14.5625,0.7949216346636794,0.0,738.2625,759.0,-0.6,26.2,12.3,0.0,98.19999999999999,-3.5249999999999773,-3.387499999999932
2020-08-24,0.2585326,22.675,71.125,2.25,10.75,16.65,0.8952278547374293,0.0,733.625,754.05,-0.4499999999999999,26.8,16.9,0.0,98.19999999999999,-4.9500000000000455,-4.6375000000000455
2020-08-25,0.2809882,20.0,93.375,1.75,5.5625,18.7625,0.1774166338171884,118.0,729.55,749.95,-0.4,22.8,18.7,118.0,203.5,-4.099999999999909,-4.0750000000000455
2020-08-26,0.274676,22.9125,84.875,2.125,9.025,20.0125,0.4962399197264733,6.1,732.3375,752.7875,0.7,27.7,18.6,124.1,189.6,2.8374999999999773,2.7875000000000227
2020-08-27,0.3000695,24.375,76.875,1.875,11.5,19.65,0.7842929663720009,0.0,734.975,755.3125,-0.1499999999999999,27.8,20.7,124.1,124.1,2.5249999999999773,2.6375000000000455
2020-08-28,0.2971003,22.0375,98.625,3.125,4.1625,21.775,0.0421765187879101,148.0,729.4,749.6625,-0.4875,22.7,21.1,154.1,272.1,-5.649999999999977,-5.5750000000000455
