feature,importance
Platelets,0.050000000000000024
Triglycerides,0.04761904761904767
SGOT,0.042857142857142885
Hepatomegaly,0.042857142857142885
Age,0.03333333333333335
Prothrombin,0.02857142857142858
Albumin,0.019047619047619046
Drug,0.016666666666666698
Spiders,0.016666666666666673
Copper,0.016666666666666673
Bilirubin,0.014285714285714301
Cholesterol_na,0.009523809523809556
Edema,0.007142857142857184
Cholesterol,0.004761904761904789
Sex,0.004761904761904789
Status,4.4408920985006264e-17
Age_na,0.0
Platelets_na,0.0
Bilirubin_na,0.0
Copper_na,0.0
Triglycerides_na,0.0
SGOT_na,0.0
Alk_Phos_na,0.0
Prothrombin_na,0.0
Albumin_na,0.0
Ascites,0.0
Alk_Phos,-0.0023809523809523725
